location,alltrails_url,other_alltrails_urls,crosswalk_confidence,included_in_app,crosswalk_human_notes,crosswalk_computer_notes,url_slug,url_key,geometry_file,geometry_match_score,geometry_match_method,alltrails_trail_name,geometry_point_count,geometry_latitude,geometry_longitude,geometry_min_latitude,geometry_max_latitude,geometry_min_longitude,geometry_max_longitude,geometry_mean_elevation,manual_latitude,manual_longitude,manual_location_notes,model_latitude,model_longitude,coordinate_source
Acra Point,https://www.alltrails.com/trail/us/new-york/acra-point-via-black-dome-range-trail-to-escarpment-trail,,High,Y,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,acra-point-via-black-dome-range-trail-to-escarpment-trail,acrapointviablackdomerangetrailtoescarpmenttrail,Acra_Point_via_Black_Dome_Range_Trail_to_Escarpment_Trail.js,1.0,exact_url_slug,Acra Point via Black Dome Range Trail to Escarpment Trail,1169.0,42.28865,-74.10419,42.27513,42.30077,-74.11602,-74.09718,826.3875106928999,,,,42.28865,-74.10419,AllTrails downloaded geometry
Alder Lake,https://www.alltrails.com/trail/us/new-york/alder-lake,,High,Y,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,alder-lake,alderlake,Alder_Lake_Loop.js,0.8181818181818182,fuzzy_url_slug,Alder Lake Loop,555.0,42.0498,-74.68015,42.0466,42.0519,-74.68836,-74.67169,679.854054054054,,,,42.0498,-74.68015,AllTrails downloaded geometry
All Canister Peaks,,,,,,,,,,,,,,,,,,,,,,,,,,Needs coordinates
Ashokan HP,https://www.alltrails.com/trail/us/new-york/ashokan-high-point-trail,,High,Y,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,ashokan-high-point-trail,ashokanhighpointtrail,Ashokan_High_Point_Trail.js,1.0,exact_url_slug,Ashokan High Point Trail,304.0,41.924054999999996,-74.299515,41.91289,41.93597,-74.328,-74.28734,618.421052631579,,,,41.924054999999996,-74.299515,AllTrails downloaded geometry
Balsam Cap,https://www.alltrails.com/explore/trail/us/new-york/friday-mountain-and-balsam-cap-from-moonhaw-rd or ,https://www.alltrails.com/explore/trail/us/new-york/friday-balsam-cap-rocky-and-lone-mountains-afternoon-hike,High,N,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,friday-mountain-and-balsam-cap-from-moonhaw-rd,fridaymountainandbalsamcapfrommoonhawrd,Friday_Mountain_and_Balsam_Cap_from_Moon_Haw_Road.js,0.975,fuzzy_url_slug,Friday Mountain and Balsam Cap from Moon Haw Road,1433.0,41.9866,-74.35115,41.97716,41.98867,-74.36095,-74.3276,798.9532449406839,,,,41.9866,-74.35115,AllTrails downloaded geometry
Balsam Lake Mountain,https://www.alltrails.com/trail/us/new-york/balsam-lake-mountain-via-dry-brook-ridge-trail,,High,N,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,balsam-lake-mountain-via-dry-brook-ridge-trail,balsamlakemountainviadrybrookridgetrail,Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,1.0,exact_url_slug,Balsam Lake Mountain via Dry Brook Ridge Trail,902.0,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725,,,,42.039145000000005,-74.59355,AllTrails downloaded geometry
Bangle Hill,,,low,N,,"DEC name appears to be a point/area, not a standalone AllTrails route.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Barnum Road,https://www.alltrails.com/trail/us/new-york/windham-high-peak-via-elm-ridge-trail,??,Medium,N,,Trailhead/road name; mapped to the common Windham High Peak route.,windham-high-peak-via-elm-ridge-trail,windhamhighpeakviaelmridgetrail,Windham_High_Peak_via_Escarpment_Trail.js,0.8125,fuzzy_url_slug,Windham High Peak via Escarpment Trail,1467.0,42.30906,-74.16612,42.30655,42.31488,-74.18968,-74.1433,794.2331288343559,,,,42.30906,-74.16612,AllTrails downloaded geometry
Batavia Kill,https://www.alltrails.com/trail/us/new-york/black-dome-and-thomas-cole-mountain-from-batavia-kill-and-black-dome-range-trails,1) https://www.alltrails.com/trail/us/new-york/escarpment-trail-et-schutt-rd-to-batavia-kill-lean-to 2) https://www.alltrails.com/trail/us/new-york/the-long-path-lp-batavia-kill-to-ny-route-23 3) https://www.alltrails.com/trail/us/new-york/the-long-path-lp-north-lake-state-campground-to-batavia-kill,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,black-dome-and-thomas-cole-mountain-from-batavia-kill-and-black-dome-range-trails,blackdomeandthomascolemountainfrombataviakillandblackdomerangetrails,,0.49122807017543857,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Beaverkill Road to BLM FT,https://www.alltrails.com/trail/us/new-york/little-pond-beaverkill-overlook-cabot-mountain-loop,https://www.alltrails.com/trail/us/new-york/long-pond-beaverkill-ridge-trail,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,little-pond-beaverkill-overlook-cabot-mountain-loop,littlepondbeaverkilloverlookcabotmountainloop,,0.5151515151515151,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
